1p,2p,3p,1n,2n,3n,ep,en,date,time,mention,hashtag,Class
[0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', "['#kanjengtaatmakan']", 'negative']
[0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '[]', 'negative']
[0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', "['citilink']", '[]', 'negative']
[0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', "['citilink']", '[]', 'negative']
[0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', "['indonesiagaruda']", '[]', 'negative']
[0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[\'mas__piyuuu", "rania_larasati", "indonesiagaruda", "jokowi\']', '[]', 'negative']
[0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '[]', 'negative']
[0, 0, 1, 0, 0, -2, 0, 0, '[]', '[]', "['letinaalejandro']", '[]', 'negative']
[0, 0, 1, 0, 0, -2, 0, 0, '[]', '[]', "['citilink']", '[]', 'negative']
